Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
<p>And then I want to that shared construct to conform UITableViewDataSource since it has everything it needs which is just the list of spots and the title. And then going back to my first class I can supply either class (Personal or explore) as my VC's data source.</p>

<p>Is this possible?</p>
","3646585","","1718685","","2018-01-01 00:14:49","2018-01-01 00:39:33","Protocol Design in Swift","<ios><swift><protocols>","1","1","","",""
"48046385","2","","48046242","2018-01-01 00:02:20","","3","","<p>Can't u just use a defaultdict with defaultdict(int) as seen here: <a href=""https://stackoverflow.com/questions/5029934/python-defaultdict-of-defaultdict"">Python: defaultdict of defaultdict?</a></p>

<pre><code>from collections import defaultdict

graph = defaultdict(lambda : defaultdict(int))

graph['a']['b'] += 1
graph['a']['b'] += 1
graph['a']['c'] += 1

graph
</code></pre>

<p>Returns:</p>

<pre><code>defaultdict(&lt;function __main__.&lt;lambda&gt;&gt;,
            {'a': defaultdict(int, {'b': 2, 'c': 1})})
# equal to: {'a': {'b': 2, 'c': 1}}
</code></pre>
","7386332","","","","","2018-01-01 00:02:20","","","","5","","",""
"48046386","1","","","2018-01-01 00:02:28","","2","3883","<p>This is really my first time using Chart.js and I am importing it into an Angular component. I am trying to at this point just create a simple bar chart. I am getting the following error in my console:</p>

<p><code>core.controller.js:118 Failed to create chart: can't acquire context from the given item</code></p>

<p>not sure what I am doing wrong here!</p>

<p>this is the TS file for my component:</p>

<pre><code>import { Component, OnInit } from '@angular/core';
import { Chart } from 'chart.js';
import { data } from './data';

@Component({
  selector: 'app-propel-factor',
  templateUrl: './propel-factor.component.html'
})
export class PropelFactorComponent implements OnInit {

    chart = [];
    labels: any = [];

    data: any = [];

    constructor() { }

    ngOnInit() {
        data.forEach(item =&gt; {
            this.labels.push(item.name);
            this.data.push(item.value);
        });

        this.chart = new Chart('canvas', {
            type: 'bar',
            labels: this.labels,
            data: {
                labels: this.labels,
                data: this.data
            },
            options: {
                responsive: true
            }
        });
    }

}
</code></pre>

<p>and then my template is simply:</p>

<pre><code>&lt;div *ngIf=""chart""&gt;
    &lt;canvas id=""canvas""&gt;{{ chart }}&lt;/canvas&gt;
&lt;/div&gt;
</code></pre>

<p>I also wanted to go on record saying that i tried this fix <a href=""https://stackoverflow.com/questions/41280857/chart-js-failed-to-create-chart-cant-acquire-context-from-the-given-item"">chart.js Failed to create chart: can&#39;t acquire context from the given item</a> and still go the same error!</p>
","7195998","","7195998","","2018-01-01 00:08:34","2018-01-01 00:31:11","Angular/Chart.js error: Failed to create chart: can't acquire context from the given item","<javascript><angular>","1","3","","",""
"48046387","2","","48039080","2018-01-01 00:02:50","","3","","<p>First, I advise you to create a single css file ""fonts.css"" in your node module, it will be simple to include a css file in your application rather than redefine the fonts and refer to N files (woff2, eot...ect), for example:
Your fonts.css:</p>

<pre><code>@font-face {
  font-family: 'a-icon';
  src: url('a-icon.eot');
  src:
    url('a-icon.ttf') format('truetype'),
    url('a-icon.woff') format('woff'),
    url('a-icon.svg') format('svg');
}
</code></pre>

<p>Second, include the file ""fonts.css"" in your styles.css of your angular application as follows: </p>

<pre><code>@import ""~a-icons/fonts.css"";
</code></pre>

<p>I have a similar solution that works fine, my node module contains a theme with fonts.</p>
","7503123","","","","","2018-01-01 00:02:50","","","","5","","",""
"48046388","2","","48046363","2018-01-01 00:03:09","","2","","<p>You can use the <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/slice"" rel=""nofollow noreferrer"">slice</a> method with the <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Spread_operator"" rel=""nofollow noreferrer"">spread syntax</a>:  </p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""true"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const shim = (source, index, target) =&gt; [
  ...source.slice(0, index),
  ...target,
  ...source.slice(index)
]

var arr1 = [0,0,0];
var arr2 = [0,1,2,3,4,5,6,7,8,9];

const newArr = shim(arr2, 3, arr1);
console.log(newArr);</code></pre>
</div>
</div>
</p>

<p><code>.slice</code> will not mutate the array and will return a new shallow copy of it (unlike <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/splice"" rel=""nofollow noreferrer"">splice</a>). </p>
","3148807","","","","","2018-01-01 00:03:09","","","","0","","",""
"48046391","1","","","2018-01-01 00:03:50","","1","64","<p>I'm using Scrapy 1.4.0 and Python 3.6.3.  When I run ""scrapy crawl  -o items.csv"", every other line of the csv file is blank.</p>

<p>While I did find  a solution <a href=""https://stackoverflow.com/questions/45908465/cant-get-rid-of-blank-rows-in-csv-output"">here</a>, it generates the following error:</p>

<pre><code>2017-12-31 18:39:48 [scrapy.utils.signal] ERROR: Error caught on signal handler: &lt;bound method FeedExporter.item_scraped of 
&lt;scrapy.extensions.feedexport.FeedExporter object at 0x000001FEA491D128&gt;&gt;
Traceback (most recent call last):
  File ""c:\programdata\anaconda3\lib\site-packages\twisted\internet\defer.py"", line 150, in maybeDeferred
result = f(*args, **kw)
  File ""c:\programdata\anaconda3\lib\site-packages\pydispatch\robustapply.py"", line 55, in robustApply
return receiver(*arguments, **named)
  File ""c:\programdata\anaconda3\lib\site-packages\scrapy\extensions\feedexport.py"", line 224, in item_scraped
slot.exporter.export_item(item)
  File ""c:\programdata\anaconda3\lib\site-packages\scrapy\exporters.py"", line 243, in export_item
self.csv_writer.writerow(values)
  File ""c:\programdata\anaconda3\lib\encodings\cp1252.py"", line 19, in encode
return codecs.charmap_encode(input,self.errors,encoding_table)[0]
UnicodeEncodeError: 'charmap' codec can't encode characters in position 77-78: character maps to &lt;undefined&gt;
</code></pre>

<p>Thank you in advance.</p>

<p>Here's the code:</p>

<pre><code>import scrapy
from scrapy import Request
class JobsSpider(scrapy.Spider):
    name = 'jobs'
    allowed_domains = ['craigslist.org']
    start_urls = ['https://newyork.craigslist.org/search/egr?s=120'] 

def parse(self, response):
    jobs = response.xpath('//p[@class=""result-info""]')

    for job in jobs:
        title = job.xpath('a[@class=""result-title hdrlnk""]/text()').extract_first()
        address = job.xpath('span[@class=""result-meta""]/span[@class=""result-hood""]/text()').extract_first("""")[2:-1]
        relative_url = job.xpath('a/@href').extract_first()
        yield Request(relative_url, callback=self.parse_page, meta={'URL': relative_url, 'Title': title, 'Address':address}) 

def parse_page(self, response):
    url = response.meta.get('URL')
    title = response.meta.get('Title')
    address = response.meta.get('Address')
    compensation = response.xpath('//p[@class=""attrgroup""]/span[1]/b/text()').extract_first()
    employment_type = response.xpath('//p[@class=""attrgroup""]/span[2]/b/text()').extract_first()

    description = """".join(line for line in response.xpath('//*[@id=""postingbody""]/text()').extract())
    yield{'URL': url, 'Title': title, 'Address':address, 'compensation': compensation,'employment_type':employment_type, 'Description':description}
</code></pre>
","8684537","","8684537","","2018-01-01 00:27:24","2018-01-01 00:27:24","Removing blank lines in csv output on Windows 10 without an error","<python><csv><web-scraping><scrapy>","0","3","","",""
"48046392","2","","48046357","2018-01-01 00:03:58","","0","","<p>your data has to be </p>

<pre><code>var data = '{""field1"": ""Val1"", ""field2"":""Val2""}';
</code></pre>

<p>then, you can use the standard JS method JSON.Parse() like below:</p>

<pre><code>var ObjectData = JSON.Parse(data);
</code></pre>

<p>so the end result will be:</p>

<pre><code>ObjectData = {field1: ""Val1"", field2: ""Val2""};
</code></pre>

<p>you can use this tool - <a href=""https://jsonlint.com/"" rel=""nofollow noreferrer"">https://jsonlint.com/</a> to verify if you JSON data is valid or not</p>
","7547352","","1661358","","2018-01-01 00:23:24","2018-01-01 00:23:24","","","","0","","",""
"48046393","2","","48046345","2018-01-01 00:04:19","","0","","<p>.NET Abhors dynamic types. They fly in the face of solid type checking at compile time. That being said, there is support for it:</p>

<p>As the example data is basically just a array of images, any collection could deal with this input.</p>

<p>If you can not even define the types umanbigiously (you might have a array of images and one of strings), the only way is <a href=""https://msdn.microsoft.com/en-us/library/system.dynamic.expandoobject.aspx"" rel=""nofollow noreferrer"">ExpandoObject</a>. It is designed specifically to deal with such cases. It is basically a List[string, object] with some Syntax Sugar, but it also does includes functions like Property Change Notifications.</p>
","3346583","","","","","2018-01-01 00:04:19","","","","0","","",""
"48046394","2","","48046219","2018-01-01 00:04:57","","0","","<p>I am not sure about the VBA method and what exactly you need to do but one solution would be to write requestdata.php to parse the result of your query into a .csv file and then load that into Excel via VBA. Parsing the result array into the .csv plain text format is made even more trivial by the fact that PHP already has a function <code>fputcsv($file, $records)</code> to use (<a href=""http://php.net/manual/en/function.fputcsv.php"" rel=""nofollow noreferrer"">documentation</a>).</p>
","2817316","","","","","2018-01-01 00:04:57","","","","2","","",""
"48046395","2","","48046254","2018-01-01 00:05:02","","0","","<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>let isAvailable = false;

console.log('test1');

let asyncFunc = () =&gt; {
  return new Promise((resolve, reject) =&gt; {
    setTimeout(() =&gt; {
      if (isAvailable === true) {
        resolve('here asyncFunc');
      }
    }, 2000);
  });
}

(async() =&gt; {
  return await asyncFunc(); // await used here is optional
})().then(v =&gt; {
  console.log(v);  // prints value after 2 seconds.
});

console.log('test2');
isAvailable = true;</code></pre>
</div>
</div>
</p>

<p>All <code>Promises</code> need to be either resolved or rejected. In your case you did neither. In order to see the value in the async function, I passed the value to the <code>resolve</code> callback.</p>

<blockquote>
  <p>In an async function it is optional to use the <code>await</code> key when returning a value as the return value of an <code>async function</code> is implicitly wrapped in <code>Promise.resolve</code>.</p>
</blockquote>
","7905437","","7905437","","2018-01-01 00:27:41","2018-01-01 00:27:41","","","","5","","",""
"48046398","2","","48046363","2018-01-01 00:05:13","","4","","<p>Use the <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/TypedArray/set"" rel=""nofollow noreferrer""><code>typedarray.set(array[, offset])</code></a> offset.</p>

<blockquote>
  <p><strong>offset <em>Optional</em></strong> </p>
  
  <p>The offset into the target array at which to begin
  writing values from the source array. If you omit this value, 0 is
  assumed (that is, the source array will overwrite values in the target
  array starting at index 0).</p>
</blockquote>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const arr1 = new Uint8Array([0,0,0]);
const arr2 = new Uint8Array([0,1,2,3,4,5,6,7,8,9]);

arr2.set(arr1, 4);

console.log(arr2);</code></pre>
</div>
</div>
</p>
","5157454","","5157454","","2018-01-01 00:08:05","2018-01-01 00:08:05","","","","2","","",""
"48046399","1","","","2018-01-01 00:05:47","","0","78","<p>I am working to implement a local SQLite DB in my app and my Observablecollection seems to return empty when it should have a list of image names like ""image1.png"",""image2.png"",""image3.png"" etc. The Model is as follows: </p>

<pre><code>public class ImageDB
{
    [PrimaryKey, AutoIncrement]
        public int Id { get; set; }
        public string ImageName { get; set; }
        public string ImageSource { get; set; }
        public string Description { get; set; }
}
</code></pre>

<p>And I am essentially trying to fill an Oberservablecollection like so: </p>

<pre><code>var myList = await App.Database.GetChinsAsync();
FeaturesChangerSource = new ObservableCollection&lt;string&gt;(myList.Select(x =&gt; 
x.ImageSource.ToString()).ToList());
</code></pre>

<p>Using this method: </p>

<pre><code>public Task&lt;List&lt;ImageDB&gt;&gt; GetChinsAsync()
    {
return database.QueryAsync&lt;ImageDB&gt;(""SELECT * FROM tImages WHERE Description 
LIKE '%chin%'"");
    }
</code></pre>

<p>Property Change notification:</p>

<pre><code>private ObservableCollection&lt;string&gt; _featuresChangerSource;
public ObservableCollection&lt;string&gt; FeaturesChangerSource
{
    get { return _featuresChangerSource; }
    set { _featuresChangerSource = value; OnPropertyChanged(); }
}
</code></pre>

<p>Any insight as to why the Observablecollection is empty?</p>
","9159420","","9159420","","2018-01-01 00:28:10","2018-01-01 00:28:10","Observablecollection from Query","<c#><sqlite><xamarin>","0","3","2","",""
"48046402","2","","48037601","2018-01-01 00:07:01","","2","","<p>I solved it and should have read the documentation of the graphql-java-tools library more carefully i suppose.
Beside the <code>GraphQLQueryResolver</code> which resolves the basic queries i also needed a <code>GraphQLResolver&lt;T&gt;</code> for my <code>Show</code>class, which looks like this:</p>

<pre><code>@Component
public class ShowResolver implements GraphQLResolver&lt;Show&gt; {
    @Autowired
    private CompetitionRepository competitionRepository;

    public List&lt;Competition&gt; competitions(Show show) {
        return ((List&lt;Competition&gt;)competitionRepository.findByShowId(show.getId()));
    }
}
</code></pre>

<p>This tells the library how to resolve complex objects inside my <code>Show</code>class and is only used if the initially query requests to include the <code>Competition</code>objects. Happy new Year!</p>

<p><strong>EDIT:</strong> As requested here is another solution using a custom execution strategy. I am using <code>graphql-spring-boot-starter</code> and <code>graphql-java-tools</code>:</p>

<p>I first define a GraphQL Config like this:</p>

<pre><code>@Configuration
public class GraphQLConfig {
    @Bean
    public Map&lt;String, ExecutionStrategy&gt; executionStrategies() {
        Map&lt;String, ExecutionStrategy&gt; executionStrategyMap = new HashMap&lt;&gt;();
        executionStrategyMap.put(""queryExecutionStrategy"", new AsyncTransactionalExecutionStrategy());
        return executionStrategyMap;
    }
}
</code></pre>

<p>Where <code>AsyncTransactionalExecutionStrategy</code> is defined like this:</p>

<pre><code>@Service
public class AsyncTransactionalExecutionStrategy extends AsyncExecutionStrategy {

    @Override
    @Transactional
    public CompletableFuture&lt;ExecutionResult&gt; execute(ExecutionContext executionContext, ExecutionStrategyParameters parameters) throws NonNullableFieldWasNullException {
        return super.execute(executionContext, parameters);
    }
}
</code></pre>

<p>This puts the whole execution of the query inside the same transaction. I don't know if this is the most optimal solution, and it also already has some drawbacks in regards to error handling, but you don't need to define a type resolver that way.</p>
","1386873","","1386873","","2018-07-03 20:17:56","2018-07-03 20:17:56","","","","5","","",""
"48046403","2","","48046357","2018-01-01 00:07:02","","0","","<p>You could use <code>eval</code> to parse the string, or <code>new Function</code> The parenthesis are important for eval as you need to evaluate the object as an object expression.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var data = ""{ field1: 'Val1', field2: 'Val2' }"";

const evil = x =&gt; {
  ""use strict""
  return eval(x)
}

console.log(evil(`(${data})`))

console.log(new Function(`return ${data}`)())</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://codepen.io/synthet1c/pen/KyQQmL.js""&gt;&lt;/script&gt;</code></pre>
</div>
</div>
</p>
","1733478","","1733478","","2018-01-01 00:24:19","2018-01-01 00:24:19","","","","1","","",""
"48046404","1","48046452","","2018-01-01 00:07:04","","2","106","<p>I'm facing yet another issue.</p>

<p>I'm using firebase db to store text and firebase storage to store files. And here comes my issue.</p>

<p><strong>Q</strong>: How to fetch a correct image <strong>from storage</strong> when fetching particular element <strong>from database</strong>?</p>

<p>Here's my attempt:</p>

<pre><code>const storageRef = firebase.storage().ref('companyImages/companyImage' + 123);
                                            ^^^^^^^^^^^^ I dont have access to id yet :(
const task = storageRef.put(companyImage);

task.on('state_changed', () =&gt; {
  const percentage = (snap.bytesTransferred / snap.totalBytes) * 100; 
                               // ^^^^^^^^^^^^ not sure if i even need this
}, (err) =&gt; {
    console.log(err);
}, () =&gt; {
  firebase.database().ref('offers').push(values);
    ^^^^^^^^^^^^^^^ now I could retrieve id from it with .key but its too late
});
</code></pre>

<p>As you can see, first what Im doing is uploading the image and when it's succesful, Im starting to upload the data to database. </p>

<p>Still, it doesnt work as it is supposed to. When uploading image I have to name it with a correct <code>id</code> to retrieve it easily later, in components. </p>

<p>It may look a lil bit complex but will appreciate any kind of help. Any suggestion or hint.</p>

<p><strong>Should I</strong> firstly upload data to DB and then image to the storage?</p>
","6945866","","","","","2018-01-01 00:36:04","Relation between storage and database - Firebase","<javascript><reactjs><firebase>","2","0","","",""
"48046405","2","","48046357","2018-01-01 00:07:22","","0","","<p>The syntax used below will not bring up any errors, and the result will be object.
<div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var o = JSON.parse(""{ \""field1\"": \""Val1\"", \""field2\"": \""Val2\"" }"");
console.log(typeof(o));
var o2 = JSON.parse('{ ""field1"": ""Val1"", ""field2"": ""Val2"" }');
console.log(typeof(o2));
var o3 = JSON.parse('{ \""field1\"": \""Val1\"", \""field2\"": \""Val2\"" }');
console.log(typeof(o3));</code></pre>
</div>
</div>
</p>
","2560539","","","","","2018-01-01 00:07:22","","","","0","","",""
","124486","","","","","2018-01-01 00:08:53","","","","0","","",""
"48046407","2","","48046337","2018-01-01 00:09:15","","3","","<p>Using spread operator is good until you start working with deeply nested state and/or arrays(remember spread operator does a shallow copy only). </p>

<p>I would rather recommend you starting working with <a href=""https://github.com/kolodny/immutability-helper"" rel=""nofollow noreferrer"">immutability-helper</a> instead. It is a React recommendation and it will let your code more readable and bug free.</p>

<p>Example:</p>

<pre><code>  import update from ""immutability-helper"";

  (...)

  const toggleLike = !state.data[""-L1LwSwW97KkwdSnYvsc""].liked
  return update(state, {
    data: {
      ""-L1LwSwW97KkwdSnYvsc"": {
        like: {
          $set: toggleLike
        }
      }
    }
  })
</code></pre>
","136258","","","","","2018-01-01 00:09:15","","","","2","","",""
"48046408","2","","48046185","2018-01-01 00:10:03","","0","","<p>The data is stored in a 2 X 50 array. So X[50,0] maybe be width of 50 leafs while X[1,50] could be the length of the same 50 leafs. Hence you could be plotting width vs. length, for example. That combination comprises one plot set. The data will be denoted by red circles.</p>
","3902974","","","","","2018-01-01 00:10:03","","","","2","","",""
"48046410","2","","48046358","2018-01-01 00:10:14","","1","","<p>You could use localStorage:</p>

<pre><code>// check key pressed and whether we've done this before
if (e.which==27 &amp;&amp; !localStorage.getItem('hasLoggedEscape')){
    // set the local storage value saying we've done this before
    localStorage.setItem('hasLoggedEscape', 1);
    //do some stuff with tools, etc 
}
</code></pre>

<p>later if you want to reset this, do </p>

<p><code>localStorage.removeItem('hasLoggedEscape');</code></p>
","1376624","","","","","2018-01-01 00:10:14","","","","3","","",""
"48046411","1","","","2018-01-01 00:10:20","","3","905","<p>I am struggling to figure out how to increment the index variable within a for loop in Liquid/Jekyll. Currently, I have something along the lines of </p>

<pre><code>{% for i in (0..num_posts) %}
    {% if i &lt; some_value %}
        do_thing
    {% else %}
    {% endif %}
    {% assign i = i|plus:1 %}
    {% if i&lt;some_value %}
        do_another_thing
    {% else %}
    {% endif %}
{% endfor %}
</code></pre>

<p>The problem is, instead of incrementing i, it leaves i as the same value.</p>

<p>Things I have tried:</p>

<ol>
<li>Using <code>{% assign i = i|plus:1 %}</code>.</li>
<li>Using <code>{% increment i %}</code>. </li>
<li><p>Using</p>

<pre><code>{% assign j = i|plus:1 %}
{% assign i = j %}
</code></pre></li>
</ol>

<p>I can't use the <code>offset</code> command either since the code doesn't always check only 2 if statements in the loop. </p>

<p>Any ideas?</p>
","9159460","","","","","2018-01-01 09:48:32","How to increment the counter inside a Liquid for loop?","<jekyll><liquid>","1","0","","",""
